Gene	Codeword
SHROOM2	00101100100000
FMNL3	01110000100000
TRIM62	10000101100000
TNFAIP3	01101010000000
HIP1R	01010010001000
DCLRE1A	11000010001000
DNA2	00001110001000
VWA8	01001001001000
PHF16	10100100001000
TARBP1	00101100001000
RNASEL	10110100000000
DHX34	01000110001000
GLTSCR1L	10011000100000
UBXN2B	00111100000000
PAPOLG	01101100000000
WDR35	10001011000000
WDR62	10010110000000
blank009	01110000001000
BRI3BP	00101110000000
IQGAP3	00110001001000
PIK3CD	00111000100000
ERMAP	01000011001000
PTPLAD2	00110011000000
CUL9	00111000001000
ANKS1A	01010000101000
TRERF1	00001010101000
URB2	10010100001000
TMED8	10000101001000
ARHGEF10L	11000001100000
GPRC5B	00000011101000
HSPA12A	00100010101000
UHRF1BP1	01100011000000
SYTL4	01001010001000
ESCO1	01001001100000
TULP4	01000101100000
MAPKBP1	10001110000000
GPAM	00011010100000
ATG14	00001101100000
DMXL2	01010001001000
HIVEP1	00101000101000
SNPH	10101000100000
SSH2	00101010001000
ZNF202	00101010100000
SALL2	01011010000000
OSBPL6	10011000001000
ERN1	01001000101000
ARL10	10010010001000
RP11-350F4.2	01011001000000
MAP3K14	10010000101000
FKBP5	00001001101000
HELZ2	01100100100000
PTPRU	11100010000000
RALGAPA1P	00010101001000
FITM2	10010010100000
PER3	00011110000000
ARL4C	00010011001000
DDX60L	01000010101000
ZNF41	00110000101000
KLHL15	01101000100000
PHLPP2	10001010100000
ZNF142	00100110100000
KLF11	01010110000000
MBLAC2	00010111000000
NIPAL2	11100100000000
LRP4	00101011000000
N6AMT1	10100110000000
SLC12A6	00100111000000
SLC4A8	01101001000000
PINK1-AS	00100001101000
VDR	11001000001000
THADA	11010000001000
URB1	00000111001000
KLHL29	00110100001000
RP11-566E18.3	00010001101000
POLQ	11110000000000
HMCN1	00110010100000
ZNF230	01100000101000
YOD1	11000001001000
DGKI	10011001000000
CACNA1A	00100101100000
ITGA7	10000011001000
ZNF175	01010100100000
LINC00641	10000010101000
ZNF646	01100101000000
FAM131B	00010110001000
MOK	11000011000000
ZNF354C	00011100001000
NCR3LG1	00010100101000
TBC1D22B	10001001001000
KIAA2018	01001010100000
SEMA4F	11100001000000
RALGAPA2	00111001000000
CDKN2B	10011010000000
C10orf54	01100001100000
TMPPE	10100010100000
CDKL5	11001001000000
AHNAK2	10101010000000
SLC2A12	01000101001000
ZKSCAN2	10000111000000
BAIAP2L1	10100001100000
C10orf12	01001011000000
ITGB8	00110001100000
DIEXF	11000110000000
NINL	11100000001000
WDR91	01010010100000
DOCK11	00010110100000
IGHMBP2	11000000101000
ATAD2B	00111010000000
blank010	10100010001000
VSIG10	01100001001000
FZD4	10000011100000
LOXL4	10001100001000
ZNF304	10100100100000
CDAN1	01001100100000
ARSD	10001100100000
LPPR4	01001100001000
SH3BGRL2	11000100001000
LRRK1	10110000100000
DDX26B	11011000000000
RP11-18F14.2	10101100000000
TONSL	11001100000000
ZBTB39	00001011100000
GJA3	01010100001000
SWT1	01010001100000
MDN1	10001001100000
ZNF280C	00001101001000
FAM26E	00011011000000
CDON	10100000101000
ATP10A	00101001100000
SLC30A4	01010101000000
ZSCAN20	11010001000000
ZNF813	10010001001000
SLC5A3	00000111100000
ZBTB24	10100101000000
FAM120C	00011000101000
ZFYVE26	10001101000000
LPIN3	11010000100000
RP11-496N12.9	11000010100000
CAND2	00100100101000
LSM11	10110000001000
C1orf112	01110010000000
CEP128	01000110100000
OXTR	01000100101000
SLC1A1	10000110100000
KIAA1147	10010001100000
LMTK2	01100010100000
ZNF549	11000100100000
CLTCL1	11010010000000
ANGEL1	00011100100000
CARD10	10000100101000
APOLD1	01011000001000
WDR66	11001000100000
STARD9	00011010001000
ZNF33B	11000101000000
INSR	11010100000000
RP11-958N24.2	00110110000000
MYPN	01000001101000
PRDM15	00110100100000
GPATCH1	00101001001000
GAN	00010101100000
QRICH2	10011100000000
BRCA2	11100000100000
EVC2	00011001100000
DISP1	10110010000000
ADAMTS3	00100011100000
PHLPP1	10100011000000
RUNX2	10000110001000
ERVK13-1	01110100000000
SAMD9L	00101101000000
ARSG	00001011001000
SEMA6D	00100101001000
ARHGEF3	11101000000000
UBN2	00001110100000
CERS6	00000101101000
JRK	10001010001000
DAAM2	00100011001000
ATP7B	10001000101000
ZNF783	00110101000000
ZNF470	01100100001000
AFAP1L1	10110001000000
DSP	10000001101000
CARD6	00011101000000
HSPA4L	10111000000000
SLC18A2	01010011000000
SP4	01101000001000
SCN3A	00110010001000
KRBA1	00010010101000
RP11-121C2.2	00001111000000
BIRC3	10010011000000
COL11A1	00000110101000
EPB41	01110001000000
ZSCAN22	01011100000000
KLHL25	10010100100000
PLCL2	10101001000000
PHKA1	01100010001000
TICRR	01000011100000
CBX2	10010101000000
SYT1	00011001001000
notarget005	01111000000000
blank011	10101000001000

